original_key,new_key
abadi_simulations_2003,Abadi2003
abadi_tensorflow,MartinAbadi2015
agarwal_fetch_2020,Agarwal2020
agertz2021,Agertz2021
akiba_optuna_2019,Akiba2019
amarante_2022,Amarante2022
amos_when_2008,QuiñoneroCandela2009
anders2023,Anders2023
apogee,Majewski2017
apogee_2017,Majewski2017
apogeedr17,Abdurrouf2022
arentsen_pigs_2020,Arentsen2020
balbinot2011,Balbinot2011
balbinot_2024,Balbinot2024
beers2012,Beers2012
bell2008,Bell2008
belokurov2018,Belokurov2018
belokurov2022,Belokurov2022
belokurov_-situ_2023,Belokurov2023a
belokurov_2018,Belokurov2018
belokurov_2023,Belokurov2023b
belokurov_aurora_2022,Belokurov2022
belokurov_biggest_2020,Belokurov2020
belokurov_co-formation_2018,Belokurov2018
belokurov_gse_2018,Belokurov2018
bennet_2019,Bennett2019
bensby2005,Bensby2005
bignone_2019,Bignone2019
binney2008,Binney2008
binney2024,Binney2024
binneytremaine2008,Binney2008
bland-hawthorn2016,BlandHawthorn2016
blandhawthorn2016,BlandHawthorn2016
blanton_2017,Blanton2017
bode_2001,Bode2001
bonaca_2020,Bonaca2020
bonaca_apw_2025,Bonaca2025
bonaca_streamsrev_2025,Bonaca2025
borsato2020,Borsato2020
borsato_identifying_2020,Borsato2020
bovy2014,Bovy2014
bovy_2012_scale_length,Bovy2012
bressan2012,Bressan2012
brook2004,Brook2004
brook2020,Brook2020
brook_2003,Brook2003
brook_smhm_2014,Brook2014
brooks2026,Brooks2026
brown2005,Brown2005
buck_nihao_2020,Buck2020
buder2021,Buder2021
bullock_tracing_2005,Bullock2005
callingham_2022,Callingham2022
callingham_massmw_2019,Callingham2019
campello_hdbscan_2013,Campello2013
carollo2007,Carollo2007
carollo2010,Carollo2010
carrillo_2024,Carrillo2024
cautun2020,Cautun2020
ceccarelli2025,Ceccarelli2025
ceccarelli_2024,Ceccarelli2024
chabrier2003,Chabrier2003
chabrier_2003,Chabrier2003
chabrier_imf_2003,Chabrier2003
chen_uncloaking_2021,Chen2022
chen_xgboost_2016,Chen2016
chiba&beers_2000,Chiba2000
ciprijanovic_deepmerge_2020,Ciprijanovic2020
ciuca_ges_2024,Ciucua2024
clarke_identifying_2020,Clarke2020
conroy2019,Conroy2019
cooper2010,Cooper2010
cooper2015,Cooper2015
crain2015,Crain2015
crain2023,Crain2023
crain_eagle_2015,Crain2015
cranmer_2020,Cranmer2020
cranmer_sbi_review_2020,Cranmer2020
cunningham_cards_2022,Cunningham2022
dalton_project_2014,Dalton2014
das2020,Das2020
dbcv,Moulavi2014
dbscan,Ester1996
de_jong_4most_2019,deJong2019
de_silva_galah_2015,DeSilva2015
deason2019,Deason2019
deason2020,Deason2020
deason2024,Deason2024
deason_2024,Deason2024
deboer_2015,deBoer2015
diemand_2005,Diemand2005
diggle_kde_1984,Diggle1984
dillamore_merger-induced_2022,Dillamore2022
dimatteo2019,DiMatteo2019
dodd2023,Dodd2023
dodd_2024,Dodd2025
dodd_catalogue_2023,Dodd2023
dominguez_sanchez_improving_2018,DominguezSanchez2018
eggen_1962,Eggen1962
eisenstein_2011,Eisenstein2011
ester1996,Ester1996
fakhouri_mergerrates_2010,Fakhouri2010
fattahi_2019,Fattahi2019
fattahi_aurigagse_2019,Fattahi2019
faucher-giguere_2009,FaucherGiguere2009
feuillet_2020,Feuillet2020
fluke2020,Fluke2020
font2006a,Font2006a
font2006b,Font2006b
font2011,Font2011
font2017,Font2017
font2021,Font2021
font_2006,Font2006a
font_2006a,Font2006a
font_artemis_2020,Font2020
font_cosmological_2011,Font2011
font_quenching_2022,Font2022
fraix-burnet2015,FraixBurnet2015
freeman2002,Freeman2002
freemanblandhawthorn_2002,Freeman2002
friedman_greedy_2001,Friedman2001
fukanoshi2025,Funakoshi2025
fuzzy_dm,Hu2000
gaia2016,GaiaCollaboration2016b
gaia2023,GaiaCollaboration2023a
gaia_bh_2024,GaiaCollaboration2024
gaia_collaboration_gaia_2018,GaiaCollaboration2018
gaia_dr1_2016,GaiaCollaboration2016a
gaia_dr2_2018,GaiaCollaboration2018
gaia_edr3,GaiaCollaboration2021
gaiadr2,GaiaCollaboration2018
gaiadr3,GaiaCollaboration2023b
gaiadr3_doc,Busso2022
galactikit,Sante2025a
galah,Buder2025
galah_2021,Buder2021
gallart2005,Gallart2005
gallart_2019,Gallart2019
gallart_2025,Gallart2025
gallart_cmdfitting_2024,Gallart2024
garcia_2024,Garcia2024
garciabethencourt_2023,GarciaBethencourt2023
garciaperez_2016,GarciaPerez2016
gas_cooling,Jethwa2018
gaucimara-bethencourt2023,GarciaBethencourt2023
gerhard2002,Gerhard2002
germain_made_2015,Germain2015
gilbert2009,Gilbert2009
gilmore1983,Gilmore1983
gilmore2012,Gilmore2012
gomez2010,Gomez2010
gomez2013,Gomez2013
gonzalez-koda_2025,GonzalezKoda2025
grand2018,Grand2018
grand_2017,Grand2017
grand_2021,Grand2021
grand_2024,Grand2024a
grand_auriga_2017,Grand2017
grand_data_release_2024,Grand2024b
grand_dr_2024,Grand2024a
grand_ges_2020,Grand2020
grand_origin_2018,Grand2018
gravitycollab_2019,GRAVITYCollaboration2019
green_sbiexample_2020,Green2020
greene_imbhscalingrelations_2020,Greene2020
grillmair1995,Grillmair1995
grimozzi2024,Grimozzi2024
guo_smhm_2010,Guo2010
h3,Conroy2019
haberle_imbh_2024,Haberle2024
hahn_sedfitting_2022,Hahn2022
hahn_simbig_2023,Hahn2023
hammer_2007,Hammer2007
hammer_2024,Hammer2024
han_2022,Han2022
harmsen_massmetallicity_2017,Harmsen2017
hasselquist_2021,Hasselquist2021
hawkins2014,Hawkins2014
hawkins2015,Hawkins2015
hayden2015,Hayden2015
haywood2018,Haywood2018
hdbscan_software,McInnes2017
helmi2000,Helmi2000
helmi2018,Helmi2018
helmi2020,Helmi2020
helmi_1999,Helmi1999a
helmi_1999_streams,Helmi1999b
helmi_1999b,Helmi1999b
helmi_2018,Helmi2018
helmi_2020,Helmi2020
helmi_building_1999,Helmi1999a
helmi_gse_2018,Helmi2018
helmi_merger_2018,Helmi2018
helmi_streams_1999,Helmi1999b
hermans_sbiensemble_2022,Hermans2022
hernandezmartinez_sbicamels_2024,HernandezMartinez2024
hierarchical_clustering,Murtagh2012
hinshaw2013,Hinshaw2013
ho_2024,Ho2024
ho_ltuili_2024,Ho2024
hoekstra_weak_lensing_2004,Hoekstra2004
hopkins2018,Hopkins2018
horta2023,Horta2023
horta_2021,Horta2021
horta_2023,Horta2023
horta_2024,Horta2024
horta_2025,Horta2025
horta_chemical_2020,Horta2020
horta_chemical_2023,Horta2023
horta_heracles_2021,Horta2021
horta_substructures_2023,Horta2023
huertas-company_dawes_2023,HuertasCompany2023
ibata2024,Ibata2024
ibata_1994,Ibata1994
ivezic2008,Ivezic2008
iwamoto1999,Iwamoto1999
jayasinghe_asas-sn_2019,Jayasinghe2019
jean-baptiste2017,JeanBaptiste2017
jean-baptiste_2017,JeanBaptiste2017
jeffrey_sbiweallensing_2021,Jeffrey2021
jenkins_panphasia_2013,Jenkins2013
ji2020,Ji2020
johnston1996,Johnston1996
johnston2002,Johnston2002
johnston2008,Johnston2008
johnston_1996,Johnston1996
johnston_2008,Johnston2008
karachentsev2013,Karachentsev2013
karakas_2010,Karakas2010
kawata2016,Kawata2016
kawata_2008,Kawata2008
kawata_mwdisk_2024,Kawata2024
kepley_2007,Kepley2007
kim2014,Kim2014
kim2025,Kim2025
kingma2016,Kingma2016
kingma_2017,Kingma2014
kingma_adam_2017,Kingma2014
kirby_2013,Kirby2013
kizhuprakkat2024,Kizhuprakkat2024
klambauer_self-normalizing_2017,Klambauer2017
klement2009,Klement2009
klypin1999,Klypin1999
kmeans,MacQueen1967
knebe2005,Knebe2005
knebe_2005,Knebe2005
kobayashi2006,Kobayashi2006
koppelman2019,Koppelman2019
koppelman2021,Koppelman2021
koppelman_2019,Koppelman2019
koppelman_2019_b,Koppelman2019
koppelman_2020,Koppelman2020
koppelman_one_2018,Koppelman2018
kruijssen2019,Kruijssen2019b
kruijssen_2019,Kruijssen2019a
kruijssen_2020,Kruijssen2020
kruijssen_emosaics_2019,Kruijssen2019a
kruijssen_kraken_2019,Kruijssen2019b
l'huillier_massgrowth_2012,LHuillier2012
lamost,Zhao2012
lamost_2012,Cui2012
lane_2023,Lane2023
lane_massdebris_2023,Lane2023
lcdm_challenges,Bullock2017
lecun2015,LeCun2015
lemos_2023,Lemos2023
leung_2019,Leung2019
libeskind_2020,Libeskind2020
licquia2016,Licquia2016
limberg_2022,Limberg2022
limberg_2024,Limberg2024
lkj_prior,Lewandowski2009
lovdal_2022,Lovdal2022
lovdal_substructure_2022,Lovdal2022
ma_2016,Ma2016
mackereth2019,Mackereth2019b
mackereth_2019,Mackereth2019b
mackereth_2020,Mackereth2020
mackereth_dynamical_2019,Mackereth2019a
mackerethbovy_massdebris_2020,Mackereth2020
majewski_2017,Majewski2017
majewski_apache_2017,Majewski2017
makinen_2023,Makinen2023
malhan2024,Malhan2024
malhan_2021,Malhan2021
malhan_2022,Malhan2022
malhan_2024,Malhan2024
malhan_shiva_2024,Malhan2024
malhan_shiva_shakti_2024,Malhan2024
malhan_streamfinder_2018,Malhan2018
marigo2017,Marigo2017
marinacci2014,Marinacci2014
massari_mwhist_2019,Massari2019
massari_origin_2019,Massari2019
matsuno_2019,Matsuno2019
matteucci2009,Matteucci2009
matthee_scattersmhr_2017,Matthee2017
mccarthy2012,McCarthy2012
mccarthy_global_2012,McCarthy2012
mcconnachie_2012,McConnachie2012
mcinnes2018umap-software,McInnes2018a
mcinnes_umap_2018,McInnes2018b
mcmillan2008,McMillan2008
mcmillan2017,McMillan2017
mcmillan_2017,McMillan2017
mcwilliam_1997,McWilliam1997
meza_2005,Meza2005
miglio_plato_2017,Miglio2017
monachesi2016,Monachesi2016a
monachesi_2019,Monachesi2019
monachesi_auriga_2019,Monachesi2019
monachesi_ghosts_2016,Monachesi2016b
montalban_2021,Montalban2021
mori2024,Mori2024
mori_2024,Mori2024
morrison2009,Morrison2009
myeong2019,Myeong2019
myeong_2019,Myeong2019
myeong_halo_2018,Myeong2018
